Task ID,Root Entity,Size of ontology TBox,Size of ontology ABox,Task Type,Answer Type,SPARQL Query,Predicate,Answer,Min Tag Length,Max Tag Length,gpt-5-mini_response,gpt-5-mini_final_answer,gpt-5-mini_confidence_score,gpt-5-mini_reasoning_steps_complexity,gpt-5-mini_response_time,gpt-5-mini_token_count,gpt-5-mini_quality_correctness,deepseek-chat_response,deepseek-chat_final_answer,deepseek-chat_confidence_score,deepseek-chat_reasoning_steps_complexity,deepseek-chat_response_time,deepseek-chat_token_count,deepseek-chat_quality_correctness,llama-4-maverick_response,llama-4-maverick_final_answer,llama-4-maverick_confidence_score,llama-4-maverick_reasoning_steps_complexity,llama-4-maverick_response_time,llama-4-maverick_token_count,llama-4-maverick_quality_correctness
1hop-Architecture_Architecture_U0C1D0UGS34-U0C1D0UGS34-hasMajor-BIN,Architecture_Architecture,233,109,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#U0C1D0UGS34> <http://www.example.com/genealogy.owl#hasMajor> <http://www.example.com/genealogy.owl#Architecture> },hasMajor,TRUE,1,1,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,3.809,2715,0,"ANSWER: TRUE
CONFIDENCE: 0.9
REASONING_STEPS: 2",TRUE,0.9,2,4.63,2944,0,"ANSWER: FALSE
CONFIDENCE: 1.0
REASONING_STEPS: 1",FALSE,1,1,9.705,2800,0
1hop-Architecture_Architecture_U0C1D0UGS11-U0C1D0UGS11-rdf:type-BIN,Architecture_Architecture,233,109,Membership,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#U0C1D0UGS11> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Person> },rdf:type,TRUE,2,2,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 2",TRUE,1,2,3.733,2724,0,"ANSWER: FALSE
CONFIDENCE: 1.0
REASONING_STEPS: 1",FALSE,1,1,4.298,2951,0,"ANSWER: FALSE
CONFIDENCE: 1.0
REASONING_STEPS: 1",FALSE,1,1,1.066,2806,0
1hop-Article_P155_U0C3D0FP6-U0C3D0FP6-rdf:type-BIN,Article_P155,233,3,Membership,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#U0C3D0FP6> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Person> },rdf:type,TRUE,2,2,"ANSWER: FALSE
CONFIDENCE: 0.0
REASONING_STEPS: 1",FALSE,0,1,2.718,2742,0,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,0.7,3,5.931,2968,0,"ANSWER: FALSE
CONFIDENCE: 1.0
REASONING_STEPS: 1",FALSE,1,1,0.645,2757,0
1hop-Article_P23_U0C3D1AP4-U0C3D1AP4-rdf:type-BIN,Article_P23,233,6,Membership,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#U0C3D1AP4> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Person> },rdf:type,TRUE,2,2,"ANSWER: FALSE
CONFIDENCE: 1.0
REASONING_STEPS: 1",FALSE,1,1,2.929,2743,0,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,0.7,3,5.976,2969,0,"ANSWER: FALSE
CONFIDENCE: 1.0
REASONING_STEPS: 1",FALSE,1,1,0.496,2758,0
1hop-AsianArts_AsianArts_U0C1D2UGS21-U0C1D2UGS21-rdf:type-BIN,AsianArts_AsianArts,233,100,Membership,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#U0C1D2UGS21> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Person> },rdf:type,TRUE,2,2,"ANSWER: FALSE
CONFIDENCE: 1.0
REASONING_STEPS: 1",FALSE,1,1,2.548,2734,0,"ANSWER: FALSE
CONFIDENCE: 1.0
REASONING_STEPS: 1",FALSE,1,1,5.091,2959,0,"ANSWER: FALSE
CONFIDENCE: 1.0
REASONING_STEPS: 1",FALSE,1,1,0.802,2749,0
1hop-AsianArts_AsianArts_U0C1D2UGS18-U0C1D2UGS18-hasMajor-BIN,AsianArts_AsianArts,233,100,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#U0C1D2UGS18> <http://www.example.com/genealogy.owl#hasMajor> <http://www.example.com/genealogy.owl#AsianArts> },hasMajor,TRUE,1,1,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,3.265,2790,0,"ANSWER: FALSE
CONFIDENCE: 1.0
REASONING_STEPS: 1",FALSE,1,1,5.107,2952,0,"ANSWER: TRUE
CONFIDENCE: 0.5
REASONING_STEPS: 1",TRUE,0.5,1,1.374,2812,0
1hop-Astronomy_Astronomy_U0WC0D3UGWS27-U0WC0D3UGWS27-rdf:type-BIN,Astronomy_Astronomy,233,158,Membership,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#U0WC0D3UGWS27> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Person> },rdf:type,TRUE,2,2,"ANSWER: FALSE
CONFIDENCE: 1.0
REASONING_STEPS: 1",FALSE,1,1,2.749,2734,0,"ANSWER: FALSE
CONFIDENCE: 1.0
REASONING_STEPS: 1",FALSE,1,1,5.855,2959,0,"ANSWER: FALSE
CONFIDENCE: 1.0
REASONING_STEPS: 1",FALSE,1,1,1.506,2817,0
1hop-Astronomy_Astronomy_U0C4D0UGS33-U0C4D0UGS33-rdf:type-BIN,Astronomy_Astronomy,233,158,Membership,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#U0C4D0UGS33> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Person> },rdf:type,TRUE,2,2,"ANSWER: FALSE
CONFIDENCE: 1.0
REASONING_STEPS: 1",FALSE,1,1,2.762,2734,0,"ANSWER: FALSE
CONFIDENCE: 1.0
REASONING_STEPS: 1",FALSE,1,1,5.056,2959,0,"ANSWER: FALSE
CONFIDENCE: 1.0
REASONING_STEPS: 1",FALSE,1,1,0.366,2662,0
1hop-Astronomy_Astronomy_U0WC0D3UGWS30-U0WC0D3UGWS30-hasMajor-BIN,Astronomy_Astronomy,233,158,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#U0WC0D3UGWS30> <http://www.example.com/genealogy.owl#hasMajor> <http://www.example.com/genealogy.owl#Astronomy> },hasMajor,TRUE,1,1,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,4.02,2726,0,"ANSWER: TRUE
CONFIDENCE: 0.7
REASONING_STEPS: 2",TRUE,0.7,2,4.078,2952,0,"ANSWER: TRUE
CONFIDENCE: 0.8
REASONING_STEPS: 3",TRUE,0.8,3,0.592,2744,0
1hop-Astronomy_Astronomy_U0C4D0UGS22-U0C4D0UGS22-hasMajor-BIN,Astronomy_Astronomy,233,158,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#U0C4D0UGS22> <http://www.example.com/genealogy.owl#hasMajor> <http://www.example.com/genealogy.owl#Astronomy> },hasMajor,TRUE,1,1,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,3.985,2790,0,"ANSWER: TRUE
CONFIDENCE: 0.7
REASONING_STEPS: 2",TRUE,0.7,2,4.061,2952,0,"ANSWER: TRUE
CONFIDENCE: 0.9
REASONING_STEPS: 2",TRUE,0.9,2,0.403,2657,0
