Task ID,Root Entity,Size of ontology TBox,Size of ontology ABox,Task Type,Answer Type,SPARQL Query,Predicate,Answer,Min Tag Length,Max Tag Length,Language,Question,gpt-5-mini_response,gpt-5-mini_final_answer,gpt-5-mini_confidence_score,gpt-5-mini_reasoning_steps_complexity,gpt-5-mini_response_time,gpt-5-mini_token_count,gpt-5-mini_quality_correctness,deepseek-chat_response,deepseek-chat_final_answer,deepseek-chat_confidence_score,deepseek-chat_reasoning_steps_complexity,deepseek-chat_response_time,deepseek-chat_token_count,deepseek-chat_quality_correctness,llama-4-maverick_response,llama-4-maverick_final_answer,llama-4-maverick_confidence_score,llama-4-maverick_reasoning_steps_complexity,llama-4-maverick_response_time,llama-4-maverick_token_count,llama-4-maverick_quality_correctness
1hop-Thing_ada_rachel_heath_1868_sarah_jacobs_1834-sarah_jacobs_1834-isFemalePartnerIn-BIN,Thing_ada_rachel_heath_1868,51,13,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#sarah_jacobs_1834> <http://www.example.com/genealogy.owl#isFemalePartnerIn> <http://www.example.com/genealogy.owl#m100> },isFemalePartnerIn,TRUE,3,3,English,Is Sarah Jacobs a female partner in the relationship with m100?,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,4.924,2265,1,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,4.646,2205,1,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,1.498,2195,1
1hop-Thing_ada_rachel_heath_1868_william_lock_jacobs_1861-william_lock_jacobs_1861-hasMother-BIN,Thing_ada_rachel_heath_1868,51,13,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#william_lock_jacobs_1861> <http://www.example.com/genealogy.owl#hasMother> <http://www.example.com/genealogy.owl#sarah_jacobs_1834> },hasMother,TRUE,3,3,English,Does William Lock Jacobs have Sarah Jacobs as his mother?,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,3.318,2199,1,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,4.18,2203,1,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,1.359,2193,1
1hop-Thing_ada_rachel_heath_1868_ada_rachel_heath_1868-ada_rachel_heath_1868-hasMother-BIN,Thing_ada_rachel_heath_1868,51,13,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#ada_rachel_heath_1868> <http://www.example.com/genealogy.owl#hasMother> <http://www.example.com/genealogy.owl#sarah_jacobs_1834> },hasMother,TRUE,3,3,English,Does Ada Rachel Heath have Sarah Jacobs as her mother?,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,3.905,2263,1,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,4.372,2203,1,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,0.777,2193,1
1hop-Thing_ada_steward_1871_mary_ellen_steward_1855-mary_ellen_steward_1855-hasSister-BIN,Thing_ada_steward_1871,51,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#mary_ellen_steward_1855> <http://www.example.com/genealogy.owl#hasSister> <http://www.example.com/genealogy.owl#catherine_steward_1863> },hasSister,TRUE,1,3,English,Does Mary Ellen Steward have a sister named Catherine Steward?,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 2",TRUE,1,2,3.66,2511,1,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 2",TRUE,1,2,4.374,2548,1,"To determine if Mary Ellen Steward has a sister named Catherine Steward, we need to analyze the given information.

1. The ontology provides information about various individuals and their relationships.
2. We are given that ""John Tacey Steward and Mary Ellen Steward are related to Catherine Steward through Has Sister."" This implies that Catherine Steward is the sister of both John Tacey Steward and Mary Ellen Steward.
3. The property ""Has Sister"" is used to describe the relationship between Joh...",TRUE,1,3,1.232,2472,1
1hop-Thing_ada_steward_1871_mary_ellen_steward_1855-mary_ellen_steward_1855-hasSister-MC,Thing_ada_steward_1871,51,29,Property Assertion,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#mary_ellen_steward_1855> <http://www.example.com/genealogy.owl#hasSister> ?x },hasSister,Ada Steward; Betsy Ann Steward; Catherine Steward; Laura Steward,4,12,English,Who is the sister of Mary Ellen Steward?,"ANSWER: Ada Steward, Betsy Ann Steward, Catherine Steward, Laura Steward
CONFIDENCE: 1.0
REASONING_STEPS: 2","Ada Steward, Betsy Ann Steward, Catherine Steward, Laura Steward",1,2,6.491,2800,1,"ANSWER: Ada Steward,Betsy Ann Steward,Catherine Steward,Laura Steward
CONFIDENCE: 1.0
REASONING_STEPS: 2","Ada Steward,Betsy Ann Steward,Catherine Steward,Laura Steward",1,2,4.522,2587,1,"ANSWER: ada_steward_1871, betsy_ann_steward, catherine_steward, laura_steward
CONFIDENCE: 1.0
REASONING_STEPS: 2","ada_steward_1871, betsy_ann_steward, catherine_steward, laura_steward",1,2,1.39,2652,0
1hop-Thing_ada_steward_1871_catherine_steward_1863-catherine_steward_1863-hasAncestor-BIN,Thing_ada_steward_1871,51,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#catherine_steward_1863> <http://www.example.com/genealogy.owl#hasAncestor> <http://www.example.com/genealogy.owl#mary_hollingsworth_1801> },hasAncestor,TRUE,3,4,English,Does Catherine Steward have Mary Hollingsworth as an ancestor?,"ANSWER: FALSE
CONFIDENCE: 1.0
REASONING_STEPS: 3",FALSE,1,3,4.265,2576,0,"ANSWER: FALSE
CONFIDENCE: 0.9
REASONING_STEPS: 5",FALSE,0.9,5,5.201,2548,0,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 3",TRUE,1,3,0.958,2609,1
1hop-Thing_ada_steward_1871_catherine_steward_1863-catherine_steward_1863-hasAncestor-MC,Thing_ada_steward_1871,51,29,Property Assertion,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#catherine_steward_1863> <http://www.example.com/genealogy.owl#hasAncestor> ?x },hasAncestor,Eleanor Harsley; James Steward; John Steward; Mary Hollingsworth; Susannah Tacey; Thomas Tacey,48,62,English,Who are the ancestors of Catherine Steward?,"ANSWER: Susannah_Tacey, James_Steward, Eleanor_Harsley, John_Steward
CONFIDENCE: 1.0
REASONING_STEPS: 3","Susannah_Tacey, James_Steward, Eleanor_Harsley, John_Steward",1,3,5.949,2741,0,"ANSWER: James Steward, Susannah Tacey, Eleanor Harsley, John Steward
CONFIDENCE: 1.0
REASONING_STEPS: 3","James Steward, Susannah Tacey, Eleanor Harsley, John Steward",1,3,4.119,2586,0.7,"ANSWER: James Steward, Susannah Tacey, John Steward, Eleanor Harsley, George Tacey, John William Tacey
CONFIDENCE: 1.0
REASONING_STEPS: 4","James Steward, Susannah Tacey, John Steward, Eleanor Harsley, George Tacey, John William Tacey",1,4,0.743,2583,0.583
1hop-Thing_ada_steward_1871_violet_sylvia_steward_1894-violet_sylvia_steward_1894-hasRelation-BIN,Thing_ada_steward_1871,51,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#violet_sylvia_steward_1894> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#elma_ellen_story_1893> },hasRelation,TRUE,3,3,English,Do Violet Sylvia Steward and Elma Ellen Story have a relationship?,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 4",TRUE,1,4,5.913,2705,1,"ANSWER: TRUE
CONFIDENCE: 0.9
REASONING_STEPS: 3",TRUE,0.9,3,5.006,2549,1,"To determine if Violet Sylvia Steward and Elma Ellen Story have a relationship, we need to analyze the given information.

1. **Identify Relevant Information**: The individuals section provides descriptions for various individuals, including Violet Sylvia Steward and Elma Ellen Story. We need to look for their descriptions.

2. **Violet Sylvia Steward's Description**: Violet Sylvia Steward is described as having John Tacey Steward as her father. 

3. **Elma Ellen Story's Description**: Elma Elle...",TRUE,1,8,1.016,2662,1
1hop-Thing_ada_steward_1871_violet_sylvia_steward_1894-violet_sylvia_steward_1894-hasRelation-MC,Thing_ada_steward_1871,51,29,Property Assertion,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#violet_sylvia_steward_1894> <http://www.example.com/genealogy.owl#hasRelation> ?x },hasRelation,Ada Steward; Arthur Steward; Betsy Ann Steward; Catherine Steward; Eleanor Harsley; Elma Ellen Story; Fred Steward; George Steward; George Tacey; Harsley Steward; Houghton Steward; James Steward; John Steward; John Tacey Steward; John William Tacey; Laura Steward; Mary Ellen Steward; Mary Hollingsworth; Matthew Tacey; Minnie Maud Steward; Reginald Tacey Steward; Richard Henry Steward; Susannah Tacey; Thomas Henry Steward; Thomas Tacey; Violet Sylvia Steward,396,396,English,Which individuals are related to Violet Sylvia Steward?,"ANSWER: John Tacey Steward, Minnie Maud Steward, Reginald Tacey Steward, Richard Henry Steward, James Steward, Susannah Tacey, Arthur Steward, Fred Steward, George Steward, Thomas Henry Steward, Ada Steward, Betsy Ann Steward, Catherine Steward, Laura Steward, Mary Ellen Steward
CONFIDENCE: 0.9
REASONING_STEPS: 3","John Tacey Steward, Minnie Maud Steward, Reginald Tacey Steward, Richard Henry Steward, James Steward, Susannah Tacey, Arthur Steward, Fred Steward, George Steward, Thomas Henry Steward, Ada Steward, Betsy Ann Steward, Catherine Steward, Laura Steward, Mary Ellen Steward",0.9,3,9.746,3038,0.677,"ANSWER: John Tacey Steward, Minnie Maud Steward, Reginald Tacey Steward, Richard Henry Steward
CONFIDENCE: 1.0
REASONING_STEPS: 1","John Tacey Steward, Minnie Maud Steward, Reginald Tacey Steward, Richard Henry Steward",1,1,4.715,2595,0.258,"ANSWER: John Tacey Steward, Mary Ellen Steward, Minnie Maud Steward, Reginald Tacey Steward, Richard Henry Steward
CONFIDENCE: 1.0
REASONING_STEPS: 2","John Tacey Steward, Mary Ellen Steward, Minnie Maud Steward, Reginald Tacey Steward, Richard Henry Steward",1,2,1.347,2588,0.323
1hop-Thing_ada_steward_1871_elma_ellen_story_1893-elma_ellen_story_1893-hasParent-BIN,Thing_ada_steward_1871,51,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#elma_ellen_story_1893> <http://www.example.com/genealogy.owl#hasParent> <http://www.example.com/genealogy.owl#mary_ellen_steward_1855> },hasParent,TRUE,3,3,English,Does Elma Ellen Story have Mary Ellen Steward as a parent?,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,2.886,2513,1,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,5.485,2549,1,"ANSWER: TRUE
CONFIDENCE: 1.0
REASONING_STEPS: 1",TRUE,1,1,1.552,2542,1
